---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,ROI 8,ROI 8,ROI 9,ROI 9,ROI 11,ROI 11,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
22.334683,28710.3529,,21639.3121,,19039.1343,,13464,,23085.0483,,10352.64,,22841.8523,,16253.2948,,18515.634,,,,,
22.5013427,,37457.7516,,25639.2611,,23465.0149,,33828.6809,,25164.9379,,18673.36,,33117.4497,,20647.3567,,21438.8497,,,,
22.6680783,28593.8824,,21657.6051,,19065.1343,,13501.1348,,23036.8,,10316.0533,,22934.0134,,16200.5443,,18490.7974,,,,,
22.834738,,37386.0392,,25661.707,,23418.8955,,33560.9929,,25184.3034,,18916.7467,,33411.3826,,20606.2186,,21413.3333,,,,
23.0013977,28673.8562,,21588.2038,,19039.7612,,13520.227,,23033.2966,,10296.72,,22899.1678,,16250.1938,,18439.9739,,,,,
23.1680577,,37404.6013,,25570.4968,,23372.0896,,33585.4468,,25122.8966,,18943.0133,,33200.8859,,20570.6557,,21241.3333,,,,
23.334793,28512.8366,,21676.7134,,19035.9104,,13485.1064,,23176.1103,,10323.28,,22861.2081,,16244.1567,,18506.4575,,,,,
23.5014527,,37402.3007,,25639.8726,,23337.2836,,33384.3404,,25175.7241,,19002.6133,,33173.1812,,20625.2536,,21269.0719,,,,
23.6681127,28703.8693,,21705.707,,19045.9701,,13543.2057,,23043.4759,,10283.9467,,22826.6577,,16294.8619,,18471.3987,,,,,
23.8347725,,37512.366,,25654.5987,,23389.403,,33209.4184,,25092.9931,,18807.2,,33245.8792,,20600.9732,,21203.6078,,,,
24.0014325,28568.1046,,21706.242,,19016.1791,,13531.1489,,23070.5931,,10303.0933,,22828.5101,,16176.7918,,18468.6797,,,,,
24.1681677,,37365.9608,,25543.3121,,23593.4328,,33105.3333,,25171.5034,,18777.76,,33130.8725,,21099.0515,,21114.7974,,,,
24.3348275,28650.8497,,21671.6943,,19055.6418,,13538.7234,,23065.9862,,10312.1067,,22795.0336,,16174.3505,,18451.6078,,,,,
24.5014875,,37352.6797,,25565.8854,,23700.9552,,32852.7092,,25250.5655,,19412.48,,33538.4966,,21194.8536,,21114.6928,,,,
24.6681473,28669.1765,,21665.2484,,19051.5224,,13657.6738,,23079.669,,10316.08,,22784.4295,,16199.2247,,18445.6471,,,,,
24.8348825,,37340.8366,,25592.6624,,23695.4627,,32641.6454,,25218.9793,,19294.9067,,33272.6443,,21004.833,,21112.2092,,,,
25.0015425,28682.3529,,21678.0892,,19040.1493,,13672.7943,,23081.4621,,10305.6,,22860.2953,,16217.501,,18425.0719,,,,,
25.1682023,,37313.0458,,25601.7325,,23600.9552,,32616.2553,,25113.931,,19032.0533,,33197.047,,21171.3979,,21124.6536,,,,
25.334862,28614.2222,,21725.9363,,18998.9552,,13552.539,,23016.6069,,10289.8933,,22821.4765,,16232.5113,,18505.7516,,,,,
25.501522,,37426.7712,,25712.1274,,23588.0896,,32448.0851,,25014.7586,,18903.0667,,33062.2282,,21088.6928,,21085.4379,,,,
25.6682572,28608.4967,,21628.7134,,19062.3881,,13609.1064,,23061.2414,,10300.56,,22866.7383,,16278.367,,18433.8039,,,,,
25.834917,,37455.634,,25521.0955,,23536.0299,,32401.4468,,25050.3724,,18855.8667,,32960.9396,,20960.3629,,21126.719,,,,
26.001577,28509.0196,,21700,,19075.0149,,13631.0355,,23042.5931,,10322.3733,,22870.8188,,16214.0701,,18485.8824,,,,,
26.1682367,,37472.1046,,25501.8599,,23499.5821,,32617.4468,,25048.9379,,18881.5467,,32784.1074,,20895.3072,,21190.6144,,,,
26.334972,28570.2484,,21687.2866,,19017.6119,,13663.3759,,23027.4207,,10329.6267,,22783.9732,,16193.1546,,18480.9412,,,,,
26.501632,,37648.0784,,25550.2675,,23630.5373,,32549.2766,,25117.2138,,19214.3467,,32679.4631,,20978.6062,,21227.7386,,,,
26.6682918,28661.6471,,21579.0573,,19058.5373,,13557.6738,,22985.3241,,10268.24,,22833.906,,16185.2701,,18413.3072,,,,,
26.8349515,,37521.5948,,25505.9618,,23581.6119,,32578.5532,,25034.8966,,19126.72,,32659.6242,,21302.0371,,21106.3791,,,,
27.0016115,28532.8105,,21580.9936,,18977.0149,,13598.9504,,23114.5655,,10350.6667,,22861.9866,,16206.4825,,18420.4444,,,,,
27.1683468,,37576.4967,,25513.9363,,23533.8507,,32453.3333,,25121.6,,18964.6133,,32644.0268,,21358.0866,,21228.2614,,,,
27.3350065,28566.6928,,21637.8344,,19047.403,,13599.2624,,23031.6966,,10310.32,,22901.9866,,16279.1588,,18461.9869,,,,,
