---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
27.6681753,22529.0647,,8440.25397,,10917.4118,,60544.6434,,20377.5238,,43850.6323,,16305.3901,,,,,
27.8348353,,23429.6115,,11691.0794,,14715.5,,55707.7203,,19907.3741,,38749.6,,17842.1277,,,,
28.001495,22304.0576,,8426.66667,,10886.3824,,60568.5035,,20340.0544,,43844.2065,,16352.3688,,,,,
28.1681547,,23475.1079,,11656.254,,14702.7353,,55626.5455,,19889.8776,,38744.9806,,17737.4752,,,,
28.3348903,22566.7914,,8438.12698,,10913.7353,,60589.3986,,20325.1429,,43781.6258,,16295.6879,,,,,
28.50155,,23586.3309,,11673.8095,,14705.2941,,55612.1399,,19866.2585,,38727.2,,17794.7518,,,,
28.6682097,22403.9712,,8437.93651,,10904.2353,,60510.4615,,20309.7143,,43788.5935,,16320.4823,,,,,
28.8348697,,23179.0216,,11671.8095,,14659.2647,,55600.7832,,19897.4966,,38721.8323,,17741.5035,,,,
29.0015295,21987.0216,,8446.79365,,10905.4118,,60532.3357,,20323.8639,,43809.8065,,16290.383,,,,,
29.1682647,,23062.1295,,11677.6508,,14763.0588,,55694.5734,,19866.7755,,38717.2129,,17708.6525,,,,
29.3349247,21994.2734,,8450.92063,,10941.7941,,60541.9301,,20326.5034,,43836.8258,,16286.922,,,,,
29.5015845,,22994.0144,,11664.5079,,14754.5588,,55665.7063,,19873.4694,,38727.8968,,17705.4468,,,,
29.6682443,21911.9137,,8428.79365,,10908.1471,,60550.4056,,20346.4218,,43886.7097,,16322.922,,,,,
29.8349043,,23065.7266,,11642.0317,,14699.3529,,55660.8392,,19895.1565,,38688.3613,,17721.5887,,,,
30.0016395,21982.8777,,8417.74603,,10869.1765,,60493.3986,,20338.068,,43786.9419,,16306.7234,,,,,
30.1682993,,23006.7626,,11622.4444,,14689.0294,,55640.4196,,19924.2721,,38721.2903,,17746.7801,,,,
30.3349593,22045.3813,,8410.34921,,10879.5,,60513.2028,,20313.3333,,43815.8452,,16290.6383,,,,,
30.501619,,22987.8273,,11656.8889,,14694.4412,,55700.4476,,19962.9116,,38656.8774,,17686.9787,,,,
30.6682787,21987.7122,,8453.5873,,10888.2941,,60525.2028,,20338.5306,,43797.7548,,16286.4113,,,,,
30.8350143,,23033.2662,,11649.2063,,14701.3824,,55706.8531,,19937.0884,,38697.6774,,17690.7518,,,,
31.001674,21976.8058,,8452.12698,,10873.4118,,60467.8881,,20328.9252,,43896.9548,,16294.4113,,,,,
31.1683337,,23019.5971,,11690.9524,,14695.6765,,55650.7133,,19922.3401,,38662.3226,,17709.5603,,,,
31.3349937,21893.1511,,8426.4127,,10923.0882,,60485.1189,,20372.6531,,43866.529,,16297.3617,,,,,
